Item Label,Image,Author,Submission DateTime,Year,Date,Instance Of Type Label,Longitude,Latitude,Inception,Admin Entity Label,Historic County Label
"2025 Pollokshaws Road, Pollokshaws Hall",http://commons.wikimedia.org/wiki/Special:FilePath/Pollokshaws%20Burgh%20Hall.jpg,Frayedattheedges,2020-09-29 21:08:59,2020,29,building,-4.29826,55.8254,N/A,Glasgow City,Renfrewshire
57-58 George Square,http://commons.wikimedia.org/wiki/Special:FilePath/DSCN4497%2057%20%26%2058%20George%20Square.jpg,AlasdairW,2019-09-29 21:18:19,2019,29,university building,-3.18727,55.9442,N/A,City of Edinburgh,Midlothian
"Cromarty, Church Street, East Parish Church",http://commons.wikimedia.org/wiki/Special:FilePath/East%20Parish%20Church%2C%20Cromarty%2003.jpg,Braveheart,2016-09-20 19:01:06,2016,20,church building,-4.02912,57.679,N/A,Highland,Cromartyshire
"4, 5, 6 Walmer Crescent",http://commons.wikimedia.org/wiki/Special:FilePath/Walmer%20Crescent%20No%204%20DSCN8964.jpg,AlasdairW,2017-09-30 20:09:19,2017,30,building,-4.29501,55.8522,N/A,Glasgow City,Lanarkshire
Cromarty Lighthouse,http://commons.wikimedia.org/wiki/Special:FilePath/Cromarty%20Lighthouse%20%28geograph%202940092%29.jpg,File Upload Bot (Magnus Manske),2013-09-03 20:18:18,2013,3,lighthouse,-4.03648,57.683,1846-01-01T00:00:00Z,Highland,Cromartyshire
"142a, 144 St Vincent Street, The Hatrack",http://commons.wikimedia.org/wiki/Special:FilePath/St%20Vincent%20Chambers%20-%20view%20from%20S.jpg,ArchHist,2018-09-12 14:21:17,2018,12,building,-4.25868,55.8619,N/A,Glasgow City,Lanarkshire
"Edinburgh, 23 George Square",http://commons.wikimedia.org/wiki/Special:FilePath/Arthur%20Conan%20Doyle%20plaque%20outside%2023%20George%20Square%2C%20Edinburgh.jpg,Stinglehammer,2017-09-28 22:29:22,2017,28,architectural structure,-3.1905,55.9433,N/A,City of Edinburgh,Midlothian
"Edinburgh, 29 George Square",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%2C%2029%20George%20Square%2002.jpg,Stinglehammer,2017-09-28 22:00:56,2017,28,architectural structure,-3.19024,55.9428,N/A,City of Edinburgh,Midlothian
"Edinburgh, 1 Leopold Place",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%2C%201%20Leopold%20Place%201.jpg,Wilmm,2017-09-24 16:08:19,2017,24,architectural structure,-3.18372,55.9581,N/A,City of Edinburgh,Midlothian
"Edinburgh, 3 Gayfield Place",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%2C%203%20Gayfield%20Place.jpg,Wilmm,2017-09-24 16:40:35,2017,24,architectural structure,-3.18417,55.9591,N/A,City of Edinburgh,Midlothian
"Edinburgh, 20-22 Gardner's Crescent",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%20-%20Edinburgh%2C%2020-22%20Gardner%27s%20Crescent%20-%2020170911190532.jpg,Ammienoot,2017-09-13 19:44:33,2017,13,architectural structure,-3.20944,55.9449,N/A,City of Edinburgh,Midlothian
"Edinburgh, 14 Warriston Crescent",http://commons.wikimedia.org/wiki/Special:FilePath/City%20of%20Edinburgh%20-%20Edinburgh%2C%2014%20Warriston%20Crescent%20-%2020230929174417.jpg,AlasdairW,2023-09-29 20:53:13,2023,29,terrace house,-3.1998,55.964,N/A,City of Edinburgh,Midlothian
"162-164 Gorbals Street, British Linen Bank",http://commons.wikimedia.org/wiki/Special:FilePath/162-164%20Gorbals%20Street%2C%20British%20Linen%20Bank.jpg,Stinglehammer,2017-09-24 11:18:10,2017,24,building,-4.25429,55.8501,N/A,Glasgow City,Lanarkshire
Sun Life Building,http://commons.wikimedia.org/wiki/Special:FilePath/Sun%20Life%20Building%2C%20West%20George%20Street%2C%20Glasgow.jpg,LornaMCampbell,2019-09-29 22:42:49,2019,29,building,-4.25619,55.8621,N/A,Glasgow City,Lanarkshire
59 George Square,http://commons.wikimedia.org/wiki/Special:FilePath/DSCN4496%2059%20George%20Square.jpg,AlasdairW,2019-09-29 21:14:58,2019,29,university building,-3.18732,55.9443,N/A,City of Edinburgh,Midlothian
"Edinburgh, Queen Street, Queen Street Central Gardens, Doric Pavilion",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%2C-Queen-Street%2C-Queen-Street-Central-Gardens%2C-Doric-Pavilion-%28Q17569747%29.jpg,Andycatlincom,2017-09-23 19:05:41,2017,23,pavilion,-3.1987,55.9554,N/A,City of Edinburgh,Midlothian
"Crow Road, Anniesland Court (linking Terrace With Mall Below)",http://commons.wikimedia.org/wiki/Special:FilePath/Anniesland%20Court%20from%20Crow%20Road.JPG,AlasdairW,2015-09-23 22:59:06,2015,23,high-rise building,-4.32498,55.8908,N/A,Glasgow City,Renfrewshire
25 George Square,http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%2C%2025%20George%20Square.jpg,Stinglehammer,2017-09-28 22:35:52,2017,28,architectural structure,-3.19038,55.9432,N/A,City of Edinburgh,Midlothian
"Edinburgh, 24 Warriston Crescent",http://commons.wikimedia.org/wiki/Special:FilePath/City%20of%20Edinburgh%20-%20Edinburgh%2C%2024%20Warriston%20Crescent%20-%2020230929174600.jpg,AlasdairW,2023-09-29 20:40:12,2023,29,terrace house,-3.19956,55.9647,N/A,City of Edinburgh,Midlothian
"Edinburgh, Thistle Street, 2 Thistle Court",http://commons.wikimedia.org/wiki/Special:FilePath/Thistle%20st.jpg,Lady-shirakawa,2018-09-21 15:47:18,2018,21,house,-3.19521,55.9545,N/A,City of Edinburgh,Midlothian
"Gartloch Hospital, Laundry",http://commons.wikimedia.org/wiki/Special:FilePath/Gartloch%20Hospital%2C%20Laundry.jpg,Waldemar Luczak,2018-09-06 09:28:42,2018,6,architectural structure,-4.10483,55.879,N/A,Glasgow City,Lanarkshire
"Edinburgh, 28 Regent Terrace",http://commons.wikimedia.org/wiki/Special:FilePath/28%20Regent%20Terrace.jpg,Spillerjzy,2017-09-23 15:26:28,2017,23,terrace house,-3.17514,55.9555,N/A,City of Edinburgh,Midlothian
"Edinburgh, Holyrood Palace, Holyrood Abbey, Abbey Court House",http://commons.wikimedia.org/wiki/Special:FilePath/Abbey%20Court%20House.jpg,Cromar,2017-09-22 11:02:25,2017,22,building,-3.1736,55.9527,N/A,City of Edinburgh,Midlothian
General Register House,http://commons.wikimedia.org/wiki/Special:FilePath/Duke%20of%20Wellington%20and%20General%20Register%20House%20-%2001.jpg,Kadellar,2014-09-30 17:49:53,2014,30,architectural structure,-3.18929,55.9537,N/A,City of Edinburgh,Midlothian
"Edinburgh, 30, 31, 32 Castle Terrace",http://commons.wikimedia.org/wiki/Special:FilePath/Castle%20Terrace%2C%20Edinburgh%201.jpg,LornaMCampbell,2017-09-28 21:59:34,2017,28,tenement,-3.20254,55.9471,N/A,City of Edinburgh,Midlothian
"Edinburgh, 32 Palmerston Place, Easter Coates House",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%20-%20Edinburgh%2C%2032%20Palmerston%20Place%2C%20Easter%20Coates%20House%20-%2020140426184236.jpg,Enric,2018-09-26 22:16:52,2018,26,building,-3.21674,55.9489,N/A,City of Edinburgh,Midlothian
"Bute, Rothesay Pier Gentlemen's Public Toilets",http://commons.wikimedia.org/wiki/Special:FilePath/Rothesay%20Pier%20Gentlemen%27s%20Public%20Toilets%2001.jpg,Kristijrn,2017-09-20 06:41:33,2017,20,architectural structure,-5.05444,55.8387,N/A,Argyll and Bute,Buteshire
"Edinburgh, 17 Regent Terrace",http://commons.wikimedia.org/wiki/Special:FilePath/17%20Regent%20Terrace.jpg,Spillerjzy,2017-09-23 15:42:32,2017,23,terrace house,-3.17639,55.9549,N/A,City of Edinburgh,Midlothian
Barclay Church Hall Link,http://commons.wikimedia.org/wiki/Special:FilePath/Barclay%20Church%20Hall%20Link%2C%20Edinburgh.jpg,Mafrado,2017-09-09 17:11:32,2017,9,building part,-3.20329,55.9404,N/A,City of Edinburgh,Midlothian
The Hirsel,http://commons.wikimedia.org/wiki/Special:FilePath/The%20right%20hand%20side%20of%20the%20house.jpg,Mainlymazza,2020-09-04 22:05:03,2020,4,country house,-2.272653924,55.659922203,N/A,Scottish Borders,Berwickshire
"Edinburgh, Leith Walk, 23 - 27 Haddington Place",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%2C%20Leith%20Walk%2C%2023%20-%2027%20Haddington%20Place.jpg,Wilmm,2017-09-24 16:59:18,2017,24,shop; tenement,-3.18253,55.9604,N/A,City of Edinburgh,Midlothian
"Edinburgh, Waterloo Place, Old Calton Burial Ground, Hume Monument",http://commons.wikimedia.org/wiki/Special:FilePath/David%20Hume%20Monument.jpg,Kristijrn,2017-09-20 06:47:19,2017,20,monument,-3.18619,55.9534,N/A,City of Edinburgh,Midlothian
"Strichen, High Street, Town Hall",http://commons.wikimedia.org/wiki/Special:FilePath/Strichen%20Town%20House%2005.jpg,Sagaciousphil,2013-09-04 09:18:33,2013,4,building,-2.09084,57.5865,1816-01-01T00:00:00Z,Aberdeenshire,Aberdeenshire
"Edinburgh, Craighouse Road, East Craig House",http://commons.wikimedia.org/wiki/Special:FilePath/Craighouse%2C%20East%20Craig.jpg,SteinsplitterBot,2020-09-04 10:01:53,2020,4,architectural structure,-3.22683,55.9226,N/A,City of Edinburgh,Midlothian
"Edinburgh, 30 Pilrig House Close, Pilrig House",http://commons.wikimedia.org/wiki/Special:FilePath/Pilrig%20House%20-%20geograph.org.uk%20-%202640818.jpg,GeographBot,2021-09-18 00:12:01,2021,18,architectural structure,-3.18128,55.9694,N/A,City of Edinburgh,Midlothian
Bourtie House,http://commons.wikimedia.org/wiki/Special:FilePath/Bourtie%20House%2C%20front.JPG,Sagaciousphil,2013-09-28 16:27:00,2013,28,house,-2.35776,57.3065,N/A,Aberdeenshire,Aberdeenshire
"Meldrum House, Stables And Dovecot",http://commons.wikimedia.org/wiki/Special:FilePath/Meldrum%20House%20stable%20and%20coachhouse.JPG,Sagaciousphil,2013-09-28 13:56:54,2013,28,architectural structure,-2.31379,57.352,N/A,Aberdeenshire,Aberdeenshire
"Anstruther Easter, Backdykes, Melville Manse",http://commons.wikimedia.org/wiki/Special:FilePath/Melville%20Manse.JPG,Localharrylover,2013-09-09 15:32:12,2013,9,manse,-2.69818,56.2232,N/A,Fife,Fife
"Nairn, Marine Road, Bandstand",http://commons.wikimedia.org/wiki/Special:FilePath/Nairn%20Bandstand.jpg,Braveheart,2019-09-29 09:32:52,2019,29,bandstand,-3.87121,57.5879,N/A,Highland,Nairnshire
"Edinburgh, 39-41 Greenhill Gardens, Bowmont Tower",http://commons.wikimedia.org/wiki/Special:FilePath/Bowmont%20Tower%2C%2039%20%26%2041%20Greenhill%20Gardens.JPG,ToyHorse,2013-09-14 12:54:28,2013,14,villa,-3.20566,55.9326,N/A,City of Edinburgh,Midlothian
"Edinburgh, Corstorphine, 2 Dovecot Road, Dovecot",http://commons.wikimedia.org/wiki/Special:FilePath/Corstorphine%20Doocot%20North.JPG,Eoinho,2013-09-05 17:47:11,2013,5,dovecote,-3.28152,55.939,N/A,City of Edinburgh,Midlothian
"Edinburgh, 66 Murrayfield Avenue, Murrayfield House",http://commons.wikimedia.org/wiki/Special:FilePath/Murrayfiled%20House.png,Eoinho,2013-09-30 11:44:06,2013,30,house,-3.24036,55.949,N/A,City of Edinburgh,Midlothian
"Edinburgh, Grassmarket, West Bow, West Bow Well",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%20-%20Edinburgh%2C%20Grassmarket%2C%20West%20Bow%2C%20West%20Bow%20Well%20-%2020140421171347.jpg,Enric,2018-09-18 22:12:38,2018,18,architectural structure,-3.1945,55.948,N/A,City of Edinburgh,Midlothian
"Edinburgh, 3 Stenhouse Mill Lane, Stenhouse",http://commons.wikimedia.org/wiki/Special:FilePath/Stenhouse%20Mill%20Edinburgh.JPG,Eoinho,2013-09-04 14:30:02,2013,4,house,-3.25557,55.9296,N/A,City of Edinburgh,Midlothian
"St John's Episcopal Churchyard, Princes Street, Edinburgh",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%20-%20Church%20of%20St%20John%20the%20Evangelist%2C%20Edinburgh%20-%2020140426181928.jpg,Enric,2018-09-25 18:23:25,2018,25,churchyard,-3.20561,55.9501,N/A,City of Edinburgh,Midlothian
"St Andrews, 28 North Castle Street, All Saints Episcopal Church, Castle Wynd House",http://commons.wikimedia.org/wiki/Special:FilePath/Castle%20Wynd%20House%20and%20tower.jpg,Alasdaircoles,2017-09-28 11:12:48,2017,28,house,-2.79078,56.3412,N/A,Fife; St Andrews,Fife
"Craigiefold, Mounthooley Dovecot",http://commons.wikimedia.org/wiki/Special:FilePath/Mounthooley%20Dovecot%2007.jpg,Sagaciousphil,2013-09-13 14:17:56,2013,13,dovecote,-2.12794,57.6833,N/A,Aberdeenshire,Aberdeenshire
"Kirkcudbright, 8 High Street, Blair House",http://commons.wikimedia.org/wiki/Special:FilePath/Blair%20House%2C%20Kirkcudbright.jpg,LornaMCampbell,2018-09-01 21:08:50,2018,1,building,-4.05432,54.837,N/A,Dumfries and Galloway,Kirkcudbrightshire
Melville Monument,http://commons.wikimedia.org/wiki/Special:FilePath/Henry%20Dundas%20Melville%20Monument.jpg,GarDav,2017-09-18 16:12:33,2017,18,sculpture; memorial column,-3.19317,55.9542,N/A,City of Edinburgh,Midlothian
"Edinburgh, Portobello, 57 Promenade, Portobello Baths",http://commons.wikimedia.org/wiki/Special:FilePath/Portobello%20Swimming%20Pool.JPG,AlasdairW,2014-09-28 17:43:48,2014,28,building,-3.10685,55.9532,N/A,City of Edinburgh,Midlothian
"Edinburgh, Holyrood Palace, North Garden, Sundial",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%20-%20Edinburgh%2C%20Holyrood%20Palace%2C%20North%20Garden%2C%20Sundial%20-%2020140427120308.jpg,Enric,2018-09-18 23:28:50,2018,18,sundial,-3.17313,55.9535,N/A,City of Edinburgh,Midlothian
Memsie House,http://commons.wikimedia.org/wiki/Special:FilePath/House%20of%20Memsie%2003.JPG,Sagaciousphil,2013-09-13 14:02:14,2013,13,house,-2.04682,57.6411,N/A,Aberdeenshire,Aberdeenshire
"Nairn, Academy Street, Old Parish Church",http://commons.wikimedia.org/wiki/Special:FilePath/Old%20Parish%20Church%2C%20Nairn%2002.jpg,Braveheart,2019-09-29 10:17:07,2019,29,church building,-3.87626,57.5837,1897-01-01T00:00:00Z,Highland,Nairnshire
"Edinburgh, Royal Botanic Garden, Palm Houses",http://commons.wikimedia.org/wiki/Special:FilePath/Greenhouse%20at%20the%20royal%20botanic%20garden%20of%20Edinburgh.JPG,Eldubhe,2013-09-04 09:34:35,2013,4,architectural structure,-3.2084,55.967,N/A,City of Edinburgh,Midlothian
"Edinburgh, 5-7 Regent Road, Royal High School, Gate Lodge",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%2C%205-7%20Regent%20Road%2C%20Royal%20High%20School%2C%20Gate%20Lodge.jpg,Wilmm,2017-09-24 14:49:42,2017,24,gatehouse,-3.18191,55.9537,N/A,City of Edinburgh,Midlothian
"Edinburgh, 5 Regent Terrace",http://commons.wikimedia.org/wiki/Special:FilePath/5%20Regent%20Terrace.jpg,Spillerjzy,2017-09-23 15:54:34,2017,23,terrace house,-3.17777,55.9544,N/A,City of Edinburgh,Midlothian
"Kinross House, Garden",http://commons.wikimedia.org/wiki/Special:FilePath/View%20of%20south%20%28side%29%20elevation%20of%20Kinross%20House%2C%20from%20S.jpg,ArchHist,2018-09-09 16:42:28,2018,9,architectural structure,-3.41017,56.203,N/A,Perth and Kinross,Kinross-shire
"Edinburgh, 35 Royal Terrace, Waverley House",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%2C%2035%20Royal%20Terrace%2C%20Waverley%20House.jpg,Wilmm,2017-09-24 20:08:59,2017,24,building,-3.17612,55.9566,N/A,City of Edinburgh,Midlothian
"Fraserburgh, Broad Street, Custom House",http://commons.wikimedia.org/wiki/Special:FilePath/Custom%20House%2C%20Fraserburgh%2001.JPG,Sagaciousphil,2013-09-12 12:52:28,2013,12,custom house,-2.00517,57.6922,N/A,Aberdeenshire,Aberdeenshire
"Edinburgh, 5 Belford Road, Drumsheugh Baths",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%20-%20Edinburgh%2C%205%20Belford%20Road%2C%20Drumsheugh%20Baths%20-%2020140426191226.jpg,Enric,2018-09-24 10:29:19,2018,24,architectural structure,-3.21631,55.9521,N/A,City of Edinburgh,Midlothian
"Chalmer's Close, (between High Street And Jeffrey Street), Trinity College Church Apse",http://commons.wikimedia.org/wiki/Special:FilePath/Trinity%20Apse%20entrance%20DSCN1547.jpg,AlasdairW,2018-09-13 22:14:26,2018,13,church building,-3.1857,55.951,N/A,City of Edinburgh,Midlothian
40 George Square,http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%20-%2040%20George%20Square%2C%20University%20Of%20Edinburgh%2C%20Arts%20Faculty%2C%20David%20Hume%20Tower%20%28block%20A%29%20And%20Lecture%20Block%20%28block%20B%29%20Including%20Steppe%20-%2020140421174922.jpg,Enric,2018-09-18 22:49:59,2018,18,high-rise building; university building,-3.18665,55.9432,1963-01-01T00:00:00Z,City of Edinburgh,Midlothian
Inveresk Lodge,http://commons.wikimedia.org/wiki/Special:FilePath/Inveresk%20Lodge.jpg,Eastlothian4th,2018-09-01 12:45:34,2018,1,gatehouse,-3.04402,55.9353,N/A,East Lothian,Midlothian
Dalguise Viaduct,http://commons.wikimedia.org/wiki/Special:FilePath/Dalguise%20viaduct%20%28geograph%203418380%29.jpg,Plucas58,2017-09-29 19:13:14,2017,29,railway viaduct,-3.6391,56.6125,N/A,Perth and Kinross,Perthshire
"Edinburgh, St John's Road, St Anne's Parish Church",http://commons.wikimedia.org/wiki/Special:FilePath/St%20Anne%27s%20Parish%20Church%2C%20Edinburgh.jpg,Embedded Data Bot,2018-09-08 16:10:03,2018,8,church building,-3.27345,55.9422,N/A,City of Edinburgh,Midlothian
"Perth, Tay Street, Waterworks",http://commons.wikimedia.org/wiki/Special:FilePath/Perth%20Water%20Works.jpg,Simon Armstrong,2013-09-20 18:01:57,2013,20,water tower; pumping station,-3.42645,56.3923,N/A,Perth and Kinross,Perthshire
"Edinburgh Castle, Gate House",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%20Castle%20Gatehouse%201.jpg,GarDav,2017-09-18 15:54:56,2017,18,gatehouse,-3.1987,55.9486,N/A,City of Edinburgh,Midlothian
"New Abbey, Old House",http://commons.wikimedia.org/wiki/Special:FilePath/Old%20House%2C%20New%20Abbey%2C%20with%20mill%20pond.jpg,ArchHist,2018-09-01 13:23:22,2018,1,house,-3.62365,54.9798,N/A,Dumfries and Galloway,Kirkcudbrightshire
"Ayton Parish Church, War Memorial",http://commons.wikimedia.org/wiki/Special:FilePath/War%20Memorial%2C%20Ayton%20-%20geograph.org.uk%20-%202593167.jpg,GeographBot,2021-09-08 23:18:14,2021,8,war memorial,-2.1181,55.8406,N/A,Scottish Borders,Berwickshire
King James VI Hospital,http://commons.wikimedia.org/wiki/Special:FilePath/King%20James%20VI%20Hospital%20%28geograph%203726022%29.jpg,Plucas58,2017-09-30 16:42:23,2017,30,hospital building; former hospital,-3.435056,56.39475,1748-01-01T00:00:00Z,Perth and Kinross,Perthshire
"Edinburgh, 58 Shandwick Place, St George's West Church",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%20Charlotte%20Chapel%20DSCN6421.jpg,AlasdairW,2016-09-28 20:48:07,2016,28,church building,-3.21049,55.9493,N/A,City of Edinburgh,Midlothian
"Penicuik, 30 Bridge Street",http://commons.wikimedia.org/wiki/Special:FilePath/30%20Bridge%20St%2C%20Penicuik%2C%20General%20view%20of%20building.jpg,Dawatters,2018-09-30 20:29:36,2018,30,architectural structure,-3.2216,55.8245,N/A,Midlothian,Midlothian
"Edinburgh, Victoria Terrace With Pavement, Railings, Lamps And Steps",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%20-%20Edinburgh%2C%20Victoria%20Terrace%20With%20Pavement%2C%20Railings%2C%20Lamps%20And%20Steps%20-%2020140421171006.jpg,Enric,2018-09-18 22:09:04,2018,18,architectural structure,-3.19407,55.9487,N/A,City of Edinburgh,Midlothian
"Dunrobin Castle, Walled Garden",http://commons.wikimedia.org/wiki/Special:FilePath/Dunrobin%20Castle%20Garden%201.jpg,PeibolPeibol,2018-09-15 09:48:40,2018,15,walled garden,-3.94328,57.9813,N/A,Highland,Sutherland
"Edinburgh, 25 Regent Terrace",http://commons.wikimedia.org/wiki/Special:FilePath/25%20Regent%20Terrace.jpg,Spillerjzy,2017-09-23 15:31:56,2017,23,terrace house,-3.17547,55.9553,N/A,City of Edinburgh,Midlothian
"Edinburgh, 1, 2, 3, 4 Haddington Place",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%2C%201%2C%202%2C%203%2C%204%20Haddington%20Place.jpg,Wilmm,2017-09-24 16:49:48,2017,24,architectural structure,-3.18392,55.9593,N/A,City of Edinburgh,Midlothian
Statue of Thomas Chalmers,http://commons.wikimedia.org/wiki/Special:FilePath/Statue%20of%20Thomas%20Chalmers%2C%20George%20Street%2C%20Edinburgh%20-%2001.jpg,Kadellar,2014-09-30 18:06:35,2014,30,statue,-3.20354,55.9525,1869-01-01T00:00:00Z,City of Edinburgh,Midlothian
"Perth, 50 St John Street, Bank Of Scotland",http://commons.wikimedia.org/wiki/Special:FilePath/Former%20bank%20building%20on%20St%20John%20Street%20%28geograph%204257401%29.jpg,Plucas58,2017-09-30 18:07:50,2017,30,bank building,-3.42716,56.3957,N/A,Perth and Kinross,Perthshire
"Edinburgh, 14 Carlton Terrace",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%2C%2014%20Carlton%20Terrace.jpg,Wilmm,2017-09-24 20:24:53,2017,24,terrace house,-3.1742,55.9566,N/A,City of Edinburgh,Midlothian
"Edinburgh, Calton Hill, Observatory House",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%20-%20Edinburgh%2C%20Calton%20Hill%2C%20Observatory%20House%20-%2020140421102244.jpg,Enric,2018-09-24 16:43:22,2018,24,house,-3.18414,55.9548,N/A,City of Edinburgh,Midlothian
St Andrews Harbour,http://commons.wikimedia.org/wiki/Special:FilePath/St.%20Andrew%27s%20At%20Dusk%20Redux%20076.jpg,ORTDL84,2017-09-06 11:07:16,2017,6,harbor,-2.78361,56.3393,N/A,Fife; St Andrews,Fife
"Fraserburgh, Saltoun Square, Market Cross",http://commons.wikimedia.org/wiki/Special:FilePath/Market%20Cross%2C%20Fraserburgh%2002.jpg,Sagaciousphil,2013-09-12 13:10:47,2013,12,market cross,-2.00517,57.6937,N/A,Aberdeenshire,Aberdeenshire
"Edinburgh, 2-8 Parliament Square, High Court Of Justiciary And Court Of Session",http://commons.wikimedia.org/wiki/Special:FilePath/High%20Court%20Of%20Justiciary%20And%20Court%20Of%20Session%2C%20Edinburgh%204.jpg,LornaMCampbell,2017-09-28 21:08:33,2017,28,courthouse,-3.19047909,55.949044996,N/A,City of Edinburgh,Midlothian
"St Andrews, North Castle Street, All Saints Episcopal Church, Ancillary Building",http://commons.wikimedia.org/wiki/Special:FilePath/All%20Saints%27%20Church%20ancillary%20building.jpg,Alasdaircoles,2017-09-28 11:13:54,2017,28,farm building,-2.79092,56.3408,N/A,Fife; St Andrews,Fife
"Edinburgh, 19 George Square",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%2C%2019%20George%20Square.jpg,Stinglehammer,2017-09-28 22:10:02,2017,28,architectural structure,-3.19067,55.9437,N/A,City of Edinburgh,Midlothian
"Tugnet, Fishing Station",http://commons.wikimedia.org/wiki/Special:FilePath/Dolphin%20and%20Wildlife%20Centre%20%28geograph%203702979%29.jpg,Plucas58,2017-09-27 18:38:15,2017,27,fishing station,-3.092504447,57.673427259,N/A,Moray,Banffshire
"Old Rayne, Market Cross",http://commons.wikimedia.org/wiki/Special:FilePath/Mercat%20Cross%2C%20Old%20Rayne%20-%20geograph.org.uk%20-%205456127.jpg,GeographBot,2023-09-21 14:32:51,2023,21,market cross,-2.54217,57.3441,N/A,Aberdeenshire,Aberdeenshire
"Edinburgh, Candlemaker Row, Greyfriars Church, Churchyard, Lodge And Gate Piers",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%2C-Candlemaker-Row%2C-Greyfriars-Church%2C-Churchyard%2C-Lodge-And-Gate-Piers-%28Q17570318%29.jpg,Andycatlincom,2017-09-29 20:17:18,2017,29,lodge,-3.19159,55.9468,N/A,City of Edinburgh,Midlothian
"Edinburgh, 19 Regent Terrace",http://commons.wikimedia.org/wiki/Special:FilePath/19%20Regent%20Terrace.jpg,Spillerjzy,2017-09-23 15:39:36,2017,23,terrace house,-3.17617,55.955,N/A,City of Edinburgh,Midlothian
Crichton House,http://commons.wikimedia.org/wiki/Special:FilePath/Crichton%20House%2C%20Midlothian.jpg,Wilmm,2020-09-23 22:36:33,2020,23,house,-2.959369955,55.851738055,N/A,Midlothian,Midlothian
"Whithorn, 57 George Street, Pend House And Whithorn Priory Gateway",http://commons.wikimedia.org/wiki/Special:FilePath/57%20George%20Street%2C%20Pend%20House%20And%20Whithorn%20Priory%20Gateway%20-%20Rear%20View.jpg,Pete Goodwin,2018-09-29 11:14:32,2018,29,architectural structure,-4.41594,54.733,N/A,Dumfries and Galloway,Wigtownshire
"Edinburgh, 13 Regent Terrace",http://commons.wikimedia.org/wiki/Special:FilePath/13%20Regent%20Terr.jpg,Spillerjzy,2017-09-23 15:47:13,2017,23,terrace house,-3.17685,55.9547,N/A,City of Edinburgh,Midlothian
"Edinburgh, 23 Regent Terrace",http://commons.wikimedia.org/wiki/Special:FilePath/23%20Regent%20Terrace.jpg,Spillerjzy,2017-09-23 15:34:36,2017,23,terrace house,-3.17569,55.9552,N/A,City of Edinburgh,Midlothian
Statue of George IV,http://commons.wikimedia.org/wiki/Special:FilePath/George%20IV%20Statue%20%28Edinburgh%29%20-%2001.jpg,Kadellar,2014-09-30 18:02:33,2014,30,statue,-3.19728,55.9535,1825-01-01T00:00:00Z,City of Edinburgh,Midlothian
Lamb's House,http://commons.wikimedia.org/wiki/Special:FilePath/Lamb%27s%20House%2C%20Water%27s%20Close%2C%20Leith.JPG,AlasdairW,2013-09-29 22:43:39,2013,29,architectural structure,-3.16984,55.9752,N/A,City of Edinburgh,Midlothian
Hill Church Of Rosehearty,http://commons.wikimedia.org/wiki/Special:FilePath/Hill%20Kirk%2002.JPG,Sagaciousphil,2013-09-13 14:44:06,2013,13,parish church,-2.11171,57.6864,N/A,Aberdeenshire,Aberdeenshire
"Edinburgh Castle, Crown Room",http://commons.wikimedia.org/wiki/Special:FilePath/Palace%20Block%2C%20Edinburgh%20Castle%20-%20view%20from%20W.jpg,ArchHist,2018-09-30 10:24:00,2018,30,architectural structure,-3.19937,55.9482,N/A,City of Edinburgh,Midlothian
"Edinburgh, 36-37 Shore",http://commons.wikimedia.org/wiki/Special:FilePath/Gothic%20Tower%20-%20City%20Observatory%20of%20Edinburgh%20-%2002.jpg,Kadellar,2014-09-01 10:08:32,2014,1,architectural structure,-3.16953,55.9761,N/A,City of Edinburgh,Midlothian
Hopetoun Monument,http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%20-%20Edinburgh%2C%2036%20St%20Andrew%20Square%2C%20Dundas%20House%2C%20Hopetoun%20Monument%20-%2020140421202234.jpg,Enric,2018-09-24 23:09:50,2018,24,sculpture; monument,-3.19167,55.9545,1834-01-01T00:00:00Z,City of Edinburgh,Midlothian
