Item Label,Image,Author,Submission DateTime,Year,Date,Instance Of Type Label,Longitude,Latitude,Inception,Admin Entity Label,Historic County Label
"Edinburgh, 17 Warriston Crescent",http://commons.wikimedia.org/wiki/Special:FilePath/City%20of%20Edinburgh%20-%20Edinburgh%2C%2017%20Warriston%20Crescent%20-%2020230929174454.jpg,AlasdairW,2023-09-29 20:56:18,2023,29,terrace house,-3.19974,55.9642,N/A,City of Edinburgh,Midlothian
"Crow Road, Anniesland Court (linking Terrace With Mall Below)",http://commons.wikimedia.org/wiki/Special:FilePath/Anniesland%20Court%20from%20Crow%20Road.JPG,AlasdairW,2015-09-23 22:59:06,2015,23,high-rise building,-4.32536,55.8909,N/A,Glasgow City,Renfrewshire
"Edinburgh, 2 Walker Street",http://commons.wikimedia.org/wiki/Special:FilePath/12-22%20COATES%20CRESCENT.JPG,Alexander Khokhlov,2013-09-29 16:31:29,2013,29,terrace house,-3.213,55.9486,N/A,City of Edinburgh,Midlothian
"144, 146 West George Street, The New Club",http://commons.wikimedia.org/wiki/Special:FilePath/144%20West%20George%20Street%2C%20Glasgow.jpg,LornaMCampbell,2019-09-29 22:40:59,2019,29,building,-4.25725,55.8627,N/A,Glasgow City,Lanarkshire
"Edinburgh, 2, 3, Elm Row",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%2C%202%2C%203%2C%20Elm%20Row.jpg,Wilmm,2017-09-24 16:06:49,2017,24,architectural structure,-3.18381,55.9581,N/A,City of Edinburgh,Midlothian
"Newhailes House, Musselburgh",http://commons.wikimedia.org/wiki/Special:FilePath/Newhailes%20House.jpg,Gweduni,2017-09-30 13:09:01,2017,30,architectural structure; country house,-3.07921,55.9409,N/A,East Lothian,Midlothian
"Edinburgh, 27 George Square",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%2C%2027%20George%20Square.jpg,Stinglehammer,2017-09-28 22:02:52,2017,28,architectural structure,-3.19029,55.9429,N/A,City of Edinburgh,Midlothian
"Edinburgh, 26 George Square",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%2C%2026%20George%20Square.jpg,Stinglehammer,2017-09-28 22:39:11,2017,28,architectural structure,-3.19034,55.943,N/A,City of Edinburgh,Midlothian
"Linlithgow, Edinburgh Road, 4-5 Kingscavil Cottages",http://commons.wikimedia.org/wiki/Special:FilePath/Kottages.jpg,Ged The Gael,2019-09-25 12:10:47,2019,25,cottage,-3.55525,55.9715,N/A,West Lothian,West Lothian
"Edinburgh, 55 George Square",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%20-%20Edinburgh%2C%2055%20George%20Square%20-%2020140421175207.jpg,Enric,2018-09-18 22:52:37,2018,18,architectural structure,-3.1872,55.944,N/A,City of Edinburgh,Midlothian
Canisbay Parish Church,http://commons.wikimedia.org/wiki/Special:FilePath/Canisbay%20Parish%20Church%2C%20Kirkstyle%2C%20Caithness%20-%20geograph-3644361.jpg,Geograph Update Bot,2017-09-17 17:07:39,2017,17,church building,-3.13259,58.6386,N/A,Highland,Caithness
"Ballindalloch Castle, Dovecot",http://commons.wikimedia.org/wiki/Special:FilePath/Ballindalloch%20Castle-%20The%20Dovecote%20%28geograph%205032739%29.jpg,Plucas58,2017-09-27 23:22:05,2017,27,dovecote,-3.37087,57.4135,N/A,Moray,Morayshire
"110, 120 St Vincent Street, Bank Of Scotland",http://commons.wikimedia.org/wiki/Special:FilePath/Composite%20view%20of%20the%20Union%20Bank%20of%20Scotland%20building%2C%20Glasgow.jpg,ArchHist,2018-09-01 10:48:47,2018,1,building,-4.25709,55.8619,N/A,Glasgow City,Lanarkshire
"Strathmiglo, High Street, Town House",http://commons.wikimedia.org/wiki/Special:FilePath/The%20Tolbooth%20at%20Strathmiglo%20-%20geograph.org.uk%20-%202676337.jpg,GeographBot,2021-09-24 17:51:36,2021,24,architectural structure,-3.26952,56.2781,N/A,Fife,Fife
"Edinburgh, Dean Village, Damside, Well Court, General",http://commons.wikimedia.org/wiki/Special:FilePath/DSCN6828%20Well%20Court%20Dean%20Village.jpg,AlasdairW,2020-09-29 21:50:45,2020,29,architectural structure,-3.21778,55.9522,N/A,City of Edinburgh,Midlothian
Achingale Mill,http://commons.wikimedia.org/wiki/Special:FilePath/Achingale%20Mill%20%28geograph%202020288%29.jpg,File Upload Bot (Magnus Manske),2013-09-03 14:42:45,2013,3,watermill,-3.30342,58.4629,N/A,Highland,Caithness
